model,strategy,sample_kind,n,wall_time_s,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,parse_failure_rate,latency_ms_p50,latency_ms_p95,completion_tokens_mean,temperature,seed
phi3.5:3.8b-mini-instruct-q4_K_M,rag,natural,200,643.8,0.67,0.5422014981070099,0.6700410028362783,0.5484,0.5428228193222073,0.01,3106.438563001575,4242.637422295957,4.11,0.0,42
phi3.5:3.8b-mini-instruct-q4_K_M,json_mode,natural,200,197.7,0.43,0.43734591397761313,0.47759386843881424,0.49333786245070543,0.4919067695077487,0.0,962.4355625055614,1324.7089625023357,7.59,0.0,42
qwen2.5-coder:3b,rag,natural,200,356.0,0.74,0.5638625693555271,0.7190098164746052,0.7103772887454103,0.49671206439872295,0.0,1684.1963330007275,2228.4918541532525,2.07,0.0,42
llama3.2:3b-instruct-q4_K_M,rag,natural,200,377.0,0.425,0.278707196924186,0.44966814850414516,0.3453982300884956,0.3207307674871934,0.0,1796.0568129929015,2330.6739750019906,10.195,0.0,42
qwen2.5-coder:1.5b,rag,natural,200,182.1,0.66,0.22762333119154707,0.5500101377882488,0.41403141361256546,0.23860555782220408,0.0,829.3066665064543,1090.1681680967154,2.025,0.0,42
